,user_id,car_id
0,9,8
69,10,4369
249,9,653
451,9,1582
634,7,10
635,7,233
639,7,4468
1573,3,5448
1574,3,3566
2211,9,895
2426,3,2439
2868,3,932
2869,3,1146
4570,8,2177
4571,8,3930
4572,8,9304
4573,8,8792
4574,8,498
4575,8,1357
4576,8,4004
6591,9,3476
6592,9,736
6593,9,701
6594,9,3210
7221,3,726
7222,3,8403
7225,3,4582
7858,9,6636
7859,9,883
7861,9,233
7862,9,3560
7883,9,230
8085,7,3552
8086,7,225
8087,7,3720
10827,10,6917
15431,8,19
15715,9,1873
16354,3,6274
18029,3,5765
28448,9,1467
28459,3,10
28460,3,233
28461,3,66
36274,10,5556
42166,9,672
151354,9,139
151355,9,638
151357,9,2630
164578,6,687
208874,10,5254
208875,10,5104
214049,10,662
214050,10,1439
218384,10,1281
237814,7,215
237816,7,1322
239185,10,1851
255888,10,385
295271,5,3581
295500,5,31
314145,5,665
315018,2,7873
315019,2,2220
324369,5,3074
327855,2,4
327856,2,13
327923,2,439
327924,2,113
327925,2,3227
327926,2,408
327927,2,1969
327928,2,5418
327929,2,3222
327930,2,1384
327931,2,516
327932,2,1597
346060,2,380
346072,2,247
346075,2,106
346078,2,92
346079,2,1069
346080,2,16
346081,2,11
358281,2,8417
358284,2,1926
358292,2,7146
363726,9,3650
363728,9,2516
388742,10,2570
417524,10,6
441555,10,6114
441558,10,1920
478282,6,619
478428,6,5269
478449,6,5537
478451,6,874
536161,10,7545
553592,10,2441
561638,6,1912
566769,9,473
568504,9,5286
568505,9,112
581413,1,1874
597320,10,3961
597321,10,896
597827,10,1082
597828,10,2616
614750,1,235
651789,10,4510
682612,6,649
682613,6,7480
682614,6,6220
682615,6,5820
684404,10,3545
696830,6,1319
696993,6,64
701846,10,3059
756174,10,1076
766536,10,1220
775758,1,1198
775759,1,533
775760,1,112
775761,1,2058
775763,1,3334
807231,6,459
820145,2,3733
820146,2,2388
820147,2,233
820197,2,1967
820198,2,479
820396,2,1371
820397,2,6937
833393,2,619
868610,10,7842
